pscene_id,play_id,production_id,performance_id,scene_id,spuck_note,tayu_shamisen_note
99,3,10,29,361,"Tamao, Tamakō, Eiza, Tamashō and Kunihide played from July 7-16; Seijūrō, Kotama, Minosuke, Tamashō and Tatsugorō played from July 17-26.","Tokutayū and Kinshi played from July 7-17, and Datejidayū and Dōhachi played from July 17-26."
100,3,10,29,362,"Eiza, Bunshō, Kotama, Tamao, Sakujūrō, Tamashō and Bunjaku played July 7-16; Minosuke, Monju, Itchō, Seijūrō, Tamagorō, Tamashō and Monya played from July 17-26.","Oritayū and Yashichi played from July 7-16, and Nanbudayū and Matsunosuke played from July 17-26."
101,3,10,29,363,"Tamao and Eiza played from July 7-16, and
Seijūrō and Minosuke played from July 17-26.","Komatsudayū, Sakitayū, Hanabusadayū, Kichibei, Katsuhei, Seiji and Katsunosuke played from July 7-16; Shimatayū, Rodayū, Midoridayū, Kanotarō, Enza, Danroku and Danjirō played from July 17-26."
102,70,10,30,371,"Seijūrō, Minosuke and Monjūrō played July 7-16, and Tamao, Bunjaku and Kamematsu played July 17-26.","Aioidayū, Aikodayū, Komatsudayū, Koshijidayū, Jūzō, Kizaemon, Katsuhei and Katsunosuke played from July 7-16; Tsudayū, Matsukadayū, Shimatayū, Mojitayū, Kanji, Katsutarō, Danroku and Danjirō played from July 17-26."
103,73,12,31,567,"
","
"
104,73,12,31,571,"
","
"
105,73,12,31,572,"
","
"
106,73,12,31,573,"
","
"
107,73,12,31,574,"
","
"
108,73,12,31,565,"
","
"
109,73,12,31,566,"
","
"
110,109,11,292,36,"
","
"
111,3,11,293,361,"
","
"
112,3,11,293,362,"
","
"
113,3,11,293,363,"
","
"
114,92,13,32,320,"
","
"
115,79,13,33,180,"
","
"
116,79,13,33,181,"
","
"
117,79,13,33,182,"
","
"
118,79,13,33,184,"
","
"
119,79,13,33,185,"
","
"
120,15,13,34,11,"
","
"
121,15,13,34,12,"
","
"
122,32,13,35,231,"
","
"
123,32,13,35,232,"
","
"
124,32,13,35,233,"
","
"
125,32,13,35,234,"
","
"
126,93,14,37,56,"
","
"
127,93,14,37,57,"
","
"
128,93,14,37,58,"
","
"
129,93,14,37,59,"
","
"
130,93,14,37,60,"
","
"
131,93,14,37,61,"
","
"
132,93,14,37,65,"
","
"
133,93,14,37,66,"
","
"
134,93,14,37,67,"
","
"
135,37,14,36,247,"
","
"
136,37,14,36,399,"
","
"
137,37,14,36,400,"
","
"
138,94,15,38,229,"
","
"
139,94,15,38,230,"
","
"
140,94,15,38,644,"
","
"
141,94,15,38,645,"
","
"
142,64,15,39,104,"
","
"
143,64,15,39,105,"
","
"
144,64,15,39,106,"
","
"
145,64,15,39,107,"
","
"
146,80,15,40,535,"
","
"
147,80,15,40,336,"
","
"
148,80,15,40,646,"
","
"
149,80,15,40,536,"
","
"
150,79,16,41,172,"
","
"
151,79,16,41,637,"
","
"
152,79,16,41,178,"
","
"
153,79,16,41,179,"
","
"
154,95,16,44,268,"
","
"
155,95,16,44,438,"
","
"
156,9,16,42,372,"
","
"
157,83,16,43,34,"
","
"
158,19,17,45,651,"
","
"
159,19,17,45,648,"
","
"
160,19,17,45,649,"
","
"
161,19,17,45,70,"
","
"
162,22,17,46,80,Puppet head (kashira) for Oune is not listed in the program.,"
"
163,22,17,46,81,"
","
"
164,22,17,46,82,Puppet head (kashira) for Oune is not listed in the program.,"
"
165,22,17,46,83,"
","
"
166,22,17,46,84,"
","
"
167,61,18,47,376,Puppet heads (kashira) for Servants and Retainer are not listed in the program.,"
"
168,61,18,47,620,Puppet heads (kashira) for Servants and Retainer are not listed in the program.,"
"
169,61,18,47,621,Puppet heads (kashira) for Servants and Retainer are not listed in the program.,"
"
170,61,18,47,623,Puppet heads (kashira) for Servants and Retainer are not listed in the program.,"
"
171,96,18,50,322,"
","
"
172,71,18,48,295,"
","
"
173,71,18,48,296,"
","
"
174,31,18,49,226,"
","
"
175,72,19,51,157,"
","
"
176,72,19,51,653,"
","
"
177,72,19,51,652,"
","
"
178,75,19,52,613,"
","
"
179,83,19,53,34,"
","
"
180,5,20,54,640,"
","
"
181,5,20,54,358,"
","
"
182,5,20,54,359,"
","
"
183,20,20,55,72,"
","
"
184,58,20,56,589,"
","
"
186,97,20,57,245,"
","
"
187,98,20,58,391,Puppet head (kashira) for Kanai is not listed in the program.,"
"
188,169,20,707,249,"
","
"
189,99,21,62,21,"
","
"
190,99,21,62,22,"
","
"
191,99,21,62,23,"
","
"
192,99,21,62,24,"
","
"
193,99,21,62,25,"
","
"
194,99,21,62,26,"
","
"
195,99,21,62,27,"
","
"
196,92,21,59,320,"
","
"
197,169,21,698,249,"
","
"
198,24,21,60,110,"
","
"
199,35,21,61,237,Puppet head (kashira) for Magoemon is not listed in the program (taken from other production information).,"
"
200,100,22,68,263,"
","
"
201,72,22,67,157,"
","
"
202,72,22,67,158,"
","
"
203,82,22,66,101,"
","
"
204,82,22,66,102,"
","
"
205,101,22,65,366,"
","
"
206,101,22,65,614,"
","
"
207,65,22,64,112,"
","
"
208,60,22,63,617,"
","
"
209,38,23,69,248,"
","
"
210,38,23,69,424,"
","
"
211,38,23,69,425,"
","
"
212,38,23,69,426,"
","
"
213,38,23,69,427,"
","
"
214,101,23,70,366,"
","
"
215,101,23,70,614,"
","
"
216,7,23,71,275,"
","
"
217,7,23,71,276,"
","
"
218,7,23,71,277,"
","
"
219,29,24,72,421,"
","
"
220,29,24,72,159,"
","
"
221,29,24,72,163,"
","
"
222,29,24,72,167,"
","
"
223,29,24,72,168,"
","
"
224,102,24,73,284,"
","
"
225,103,24,76,299,Some puppet heads (kashira) for this production are not listed in the program (taken from other production information).,"
"
226,23,24,74,103,"
","
"
227,33,24,75,394,"
","
"
228,73,25,77,575,"
","
"
229,73,25,77,567,"
","
"
230,73,25,77,576,"
","
"
231,73,25,77,577,"
","
"
232,73,25,77,578,"
","
"
233,73,25,77,579,"
","
"
234,73,25,77,568,"
","
"
235,73,25,77,569,"
","
"
236,73,25,77,570,"
","
"
237,73,25,77,571,"
","
"
238,73,25,77,572,"
","
"
239,73,25,77,573,"
","
"
240,73,25,77,574,"
","
"
241,73,25,77,580,"
","
"
242,73,25,77,581,"
","
"
243,73,25,77,565,"
","
"
244,73,25,77,566,"
","
"
245,73,25,77,582,"
","
"
246,57,26,78,352,"Puppet head (kashira) for Omatsu, a maid is not listed in the program for this production (taken from other production information).","
"
247,57,26,78,353,Puppet head (kashira) for Sekisuke is not listed in the program for this production (taken from other production information).,"
"
248,57,26,78,354,"
","
"
249,39,26,79,250,Puppet head (kashira) for Mitsunobu's wife is not listed in the program for this production (taken from other production information).,"
"
250,34,26,80,236,Puppet head (kashira) for Mitsunobu's wife is not listed in the program for this production (taken from other production information).,"
"
251,104,26,82,186,"Puppet heads (kashira) for Night Watchman, Waitress, Maid, and Junior Courtesan are not listed in the program for this production (taken from other production information).","
"
252,104,26,82,187,"
","
"
253,32,26,81,234,"
","
"
254,45,27,83,274,"
","
"
255,45,27,83,444,"
","
"
256,45,27,83,447,"
","
"
257,45,27,83,448,"
","
"
258,105,27,86,244,"
","
"
259,21,27,84,75,"
","
"
260,21,27,84,76,"
","
"
261,21,27,84,77,"
","
"
262,96,27,85,322,"
","
"
263,35,283,926,237,Some puppet heads (kashira) for this production are not listed in the program (taken from other production information).,"
"
264,63,29,88,204,"
","
"
265,63,29,88,205,"
","
"
266,63,29,88,207,"
","
"
267,63,29,88,208,"
","
"
268,63,29,88,209,"
","
"
269,63,29,88,210,"
","
"
270,63,29,88,211,"
","
"
271,63,29,88,212,"
","
"
272,63,29,88,213,"
","
"
273,63,29,88,214,"
","
"
274,63,29,88,215,"
","
"
275,63,29,88,216,"
","
"
276,63,29,88,217,"
","
"
277,63,29,88,218,"
","
"
278,63,29,88,219,"
","
"
279,63,29,88,220,"
","
"
280,63,29,88,222,"
","
"
281,16,30,89,45,"
","
"
282,16,30,89,46,"
","
"
283,16,30,89,47,"
","
"
284,82,30,90,101,"
","
"
285,49,30,91,291,"
","
"
286,100,31,109,263,"
","
"
287,2,31,110,330,"
","
"
288,2,31,110,331,Puppet heads (kashira) for Saibei and Osan's mother are not listed in the program for this production (taken from other production information).,"
"
289,2,31,110,532,"
","
"
290,90,31,111,307,"
","
"
291,90,31,111,470,"
","
"
292,172,31,718,249,"
","
"
293,6,31,112,18,"
","
"
294,6,31,112,19,"
","
"
295,88,31,113,286,"
","
"
296,110,33,121,477,"
","
"
297,110,33,121,478,"
","
"
298,110,33,121,479,"
","
"
299,110,33,121,480,"
","
"
300,110,33,121,481,"
","
"
301,110,33,121,482,"
","
"
302,110,33,121,483,"
","
"
303,110,33,121,484,"
","
"
304,110,33,121,485,"
","
"
305,110,33,121,486,"
","
"
306,109,32,119,36,Puppet head information is not listed in the program (taken from other production information).,"
"
307,45,32,114,444,Puppet head information is not listed in the program (taken from other production information).,"
"
308,60,32,115,674,Puppet head information is not listed in the program (taken from other production information).,"
"
309,33,32,116,235,Puppet head information is not listed in the program (taken from other production information).,"
"
310,82,32,117,101,Puppet head information is not listed in the program (taken from other production information).,"
"
311,83,32,118,34,Puppet head information is not listed in the program (taken from other production information).,"
"
312,62,34,122,629,"
","
"
313,41,34,123,259,"
","
"
314,66,34,124,79,"
","
"
315,77,34,125,512,"
","
"
316,16,34,126,45,"
","
"
317,16,34,126,46,"
","
"
318,16,34,126,47,"
","
"
319,54,34,127,329,"
","
"
320,36,34,128,242,"
","
"
321,111,35,136,456,"Puppet head information is not listed in the program,  (taken from other production information).","
"
322,111,35,136,457,Puppet head information is not listed in the program (taken from other production information).,"
"
323,111,35,136,283,Puppet head information is not listed in the program (taken from other production information).,
324,112,35,137,15,"
","
"
325,112,35,137,16,"
","
"
326,112,35,137,17,"
","
"
327,83,35,135,34,"Puppet head information is not listed in the program,  (taken from other production information).","
"
328,106,36,129,338,"
","
"
329,106,36,129,546,"
","
"
330,41,36,130,259,"
","
"
331,107,36,131,74,"
","
"
332,172,33,720,249,"
","
"
333,95,36,132,268,"
","
"
334,95,36,132,438,"
","
"
335,104,36,133,186,"
","
"
336,104,36,133,187,"
","
"
337,25,36,134,117,"
","
"
338,106,37,92,338,"
","
"
339,106,37,92,546,"
","
"
340,75,37,93,613,"
","
"
341,107,37,94,74,Puppet head information is not listed in the program (taken from other production information).,"
"
342,18,37,95,55,"
","
"
343,27,37,96,147,"
","
"
344,27,37,96,148,"
","
"
345,59,37,97,369,"
","
"
346,17,38,98,48,"
","
"
347,17,38,98,49,"
","
"
348,17,38,98,50,"
","
"
349,1,38,99,309,"
","
"
350,1,38,99,310,"
","
"
351,1,38,99,311,"
","
"
352,75,38,100,518,"
","
"
353,75,38,100,326,"
","
"
354,75,38,100,613,"
","
"
355,108,38,101,203,"
","
"
356,40,39,102,672,"
","
"
357,40,39,102,255,"
","
"
358,40,39,102,256,"
","
"
359,40,39,102,257,"
","
"
360,40,39,102,258,"
","
"
361,34,39,103,236,"
","
"
362,7,39,104,275,"
","
"
363,7,39,104,654,"
","
"
364,7,39,104,276,"
","
"
365,17,39,105,48,"
","
"
366,17,39,105,49,"
","
"
367,17,39,105,50,"
","
"
368,40,40,106,255,"
","
"
369,40,40,106,256,"
","
"
370,40,40,106,677,"
","
"
371,7,40,107,275,"
","
"
372,7,40,107,276,"
","
"
373,100,41,142,263,"
","
"
374,85,41,143,73,Some puppet heads (kashira) for this production are not listed in the program (taken from other production information).,"
"
375,113,41,146,387,"
","
"
376,113,41,146,632,"
","
"
377,113,41,146,633,"
","
"
378,73,41,144,571,"
","
"
379,73,41,144,565,"
","
"
380,73,41,144,566,"
","
"
381,32,41,145,232,"
","
"
382,32,41,145,233,Some puppet heads (kashira) for this production are not listed in the program (taken from other production information).,"
"
383,32,41,145,234,"
","
"
384,23,42,147,103,"
","
"
385,6,42,148,19,"
","
"
386,87,42,149,267,"
","
"
387,114,42,152,98,"
","
"
388,114,42,152,99,"
","
"
389,29,42,150,163,"
","
"
390,109,42,151,36,"
","
"
391,16,43,153,39,"
","
"
392,16,43,153,40,"
","
"
393,16,43,153,41,"
","
"
394,16,43,153,42,"
","
"
395,16,43,153,43,"
","
"
396,16,43,153,44,"
","
"
397,16,43,153,45,"
","
"
398,16,43,153,46,"
","
"
399,16,43,153,47,"
","
"
400,119,43,721,301,"
","
"
401,16,44,154,38,Characters not appearing in this scene are omitted from the list on the program.,"
"
402,16,44,154,39,Characters not appearing in this scene are omitted from the list on the program.,"
"
403,16,44,154,40,Characters not appearing in this scene are omitted from the list on the program.,"
"
404,16,44,154,41,Characters not appearing in this scene are omitted from the list on the program.,"
"
405,16,44,154,42,Characters not appearing in this scene are omitted from the list on the program.,"
"
406,16,44,154,43,Characters not appearing in this scene are omitted from the list on the program.,"
"
407,16,44,154,44,Characters not appearing in this scene are omitted from the list on the program.,"
"
408,16,44,154,45,Characters not appearing in this scene are omitted from the list on the program.,"
"
409,16,44,154,46,Characters not appearing in this scene are omitted from the list on the program.,"
"
410,16,44,154,47,Characters not appearing in this scene are omitted from the list on the program.,"
"
411,115,44,155,28,"
","
"
412,102,45,156,284,Puppet head information is not listed in the program (taken from other production information).,"
"
413,97,45,157,245,Puppet head information is not listed in the program (taken from other production information).,"
"
414,29,45,158,163,Puppet head information is not listed in the program (taken from other production information).,"
"
415,72,45,159,154,Puppet head information is not listed in the program (taken from other production information).,"
"
416,72,45,159,155,Puppet head information is not listed in the program (taken from other production information).,"
"
417,6,45,160,19,Puppet head information is not listed in the program (taken from other production information).,"
"
418,62,45,161,629,Puppet head information is not listed in the program (taken from other production information).,"
"
419,11,46,163,194,"
","
"
420,11,46,163,196,"
","
"
421,11,46,163,197,"
","
"
422,11,46,163,198,"
","
"
423,11,46,163,199,"
","
"
424,3,46,164,361,"
","
"
425,3,46,164,362,"
","
"
426,3,46,164,363,"
","
"
427,25,46,165,117,"
","
"
428,82,46,166,100,"
","
"
429,82,46,166,101,"
","
"
430,82,46,166,102,"
","
"
431,58,47,167,367,Characters not appearing in this scene are omitted from the list on the program.,"
"
432,58,47,167,589,Characters not appearing in this scene are omitted from the list on the program.,"
"
433,58,47,167,590,Characters not appearing in this scene are omitted from the list on the program.,"
"
434,58,47,167,592,Characters not appearing in this scene are omitted from the list on the program.,"
"
435,58,47,167,593,Characters not appearing in this scene are omitted from the list on the program.,"
"
436,58,47,167,594,Characters not appearing in this scene are omitted from the list on the program.,"
"
437,58,47,167,595,Characters not appearing in this scene are omitted from the list on the program.,"
"
438,90,47,168,471,"
","
"
439,90,47,168,472,"
","
"
440,90,47,168,470,"
","
"
441,93,48,169,60,"
","
"
442,93,48,169,61,"
","
"
443,93,48,169,62,"
","
"
444,93,48,169,63,"
","
"
445,93,48,169,64,"
","
"
446,93,48,169,65,"
","
"
447,93,48,169,66,"
","
"
448,93,48,169,67,"
","
"
449,45,48,171,274,"
","
"
450,45,48,171,444,"
","
"
451,60,48,172,617,"
","
"
452,70,48,173,371,"
","
"
453,30,49,174,190,"
","
"
454,30,49,174,192,"
","
"
455,30,49,174,193,"
","
"
456,80,49,175,336,"
","
"
457,74,49,176,298,"
","
"
458,72,50,177,153,"
","
"
459,72,50,177,154,"
","
"
460,72,50,177,155,"
","
"
461,72,50,177,157,"
","
"
462,72,50,177,158,"
","
"
463,90,50,178,307,"
","
"
464,90,50,178,470,"
","
"
465,116,50,180,246,"
","
"
466,31,50,179,226,"
","
"
467,72,51,183,411,"
","
"
468,72,51,183,412,Yoshida Tamamatsu appears in place of Yoshida Kunuhide in Adachi's photographs.,"
"
469,72,51,183,153,"
",Nozawa Katsuhei appeared in place of Tsuruzawa Juzo.
470,72,51,183,154,"
","
"
471,72,51,183,155,"
","
"
472,72,51,183,413,Yoshida Tamame appears in place of Yoshida Shōjirō in Adachi's photographs.,"
"
473,72,51,183,414,Yoshida Kotama appears in place of Kiritake Monju in Adachi's photographs.,"
"
474,72,51,183,156,Yoshida Kotama appears in place of Kiritake Monju in Adachi's photographs.,"
"
475,72,51,183,157,"
","
"
476,72,51,183,158,"
","
"
477,72,51,183,416,Kiritake Itchō appears in place of Kiritake Monju in Adachi's photographs.,"
"
478,119,51,184,301,"
","
"
479,120,52,189,140,Some puppet heads (kashira) for this production are not listed in the program (taken from other production information).,"
"
480,80,52,185,336,"
","
"
481,121,52,190,264,"
","
"
482,62,52,186,382,"
","
"
483,108,52,187,203,"
","
"
484,63,52,188,220,"
","
"
485,55,53,191,337,Puppet heads (kashira) for Tokujumaru and Tomochiyo are not listed in the program.,"
"
486,55,53,191,538,Puppet heads (kashira) for Tokujumaru and Tomochiyo are not listed in the program.,"
"
487,55,53,191,539,"
","
"
488,55,53,191,540,"
","
"
489,55,53,191,541,"
","
"
490,48,53,192,288,"
","
"
491,48,53,192,458,"
","
"
492,82,53,193,101,Kiritake Monju appears in place of Yoshida Kunihide in Adachi's photographs.,"
"
493,82,53,193,102,"
","
"
494,122,54,198,324,"
","
"
495,122,54,198,610,"
","
"
496,1,54,194,309,"
","
"
497,1,54,194,310,"
","
"
498,1,54,194,311,"
","
"
499,74,54,195,298,"
","
"
500,29,54,196,163,"
","
"
501,83,54,197,34,"
","
"
502,78,198,199,118,"
","
"
503,78,198,199,119,"
","
"
504,78,198,199,120,Kiritake Itchō sometimes appears in place of Kiritake Kanjūrō in Adachi's photographs.,"
"
505,78,198,199,121,"
","
"
506,78,198,199,122,"
","
"
507,78,198,199,123,"
","
"
508,78,198,199,124,"
","
"
509,78,198,199,125,"
","
"
510,78,198,199,126,Toyomatsu Seijūrō appears in place of Kiritake Kanjūrō in Adachi's photographs.,"
"
511,78,198,199,127,"
","
"
512,27,55,200,406,"
","
"
513,27,55,200,145,"
","
"
514,27,55,200,408,"
","
"
515,15,55,201,11,"
","
"
516,15,55,201,12,"
","
"
517,26,55,202,133,"
","
"
518,26,55,202,402,"
","
"
519,22,55,203,83,"
","
"
520,22,55,203,84,"
","
"
521,47,55,204,287,"
","
"
522,27,56,205,405,"
","
"
523,27,56,205,406,"
","
"
524,27,56,205,407,Minematsu is not listed in the program.,"
"
525,27,56,205,408,Minematsu and Jirokichi are not listed in the program.,"
"
526,27,56,205,144,"
","
"
527,100,57,206,263,"
","
"
528,48,57,207,288,"
","
"
529,48,57,207,458,"
","
"
530,14,57,208,4,"
","
"
531,30,57,209,188,"
","
"
532,30,57,209,189,"
","
"
533,30,57,209,190,"
","
"
534,30,57,209,191,"
","
"
535,30,57,209,192,"
","
"
536,30,57,209,193,"
","
"
537,73,58,210,565,"
","
"
538,73,58,210,566,"
","
"
539,32,58,211,231,"
","
"
540,32,58,211,232,Yoshida Tamakō appears in place of Kiritake Kanjūrō in Adachi's photographs.,"
"
541,32,58,211,233,Yoshida Tamakō appears in place of Kiritake Kanjūrō in Adachi's photographs.,"
"
542,32,58,211,234,"
","
"
543,26,58,212,131,"
","
"
544,26,58,212,132,"
","
"
545,26,58,212,133,Yoshida Tamashō appears in place of Kiritake Kanjūrō in Adachi's photographs.,"
"
546,26,58,212,402,"Yoshida Tamashō appears in place of Kiritake Kanjūrō, and Yoshida Tamakō appears in place of Yoshida Tamame in Adachi's photographs.","
"
547,3,58,213,361,"
","
"
548,3,58,213,362,"
","
"
549,3,58,213,363,"
","
"
550,68,59,214,316,"
","
"
551,68,59,214,492,"
","
"
552,68,59,214,493,"
","
"
553,68,59,214,494,"
","
"
554,38,59,215,426,"
","
"
555,38,59,215,427,"
","
"
556,73,59,216,571,"
","
"
557,73,59,216,572,"
","
"
558,73,59,216,573,"
","
"
559,73,59,216,574,"
","
"
560,37,59,217,399,"
","
"
561,37,59,217,400,"
","
"
562,15,199,218,11,"
","
"
563,15,199,218,13,"
","
"
564,5,199,219,640,"
","
"
565,5,199,219,358,"
","
"
566,5,199,219,359,"
","
"
567,5,199,219,360,"
","
"
568,81,199,220,365,"
","
"
569,81,199,220,585,"
","
"
570,71,199,221,292,"
","
"
571,71,199,221,293,"
","
"
572,71,199,221,295,"
","
"
573,71,199,221,296,"
","
"
574,125,60,225,273,"
","
"
575,125,60,225,449,"
","
"
576,125,60,225,450,"
","
"
577,104,60,222,186,"
","
"
578,104,60,222,187,"
","
"
579,63,60,223,216,"
","
"
580,63,60,223,217,"
","
"
581,63,60,223,218,"
","
"
582,63,60,223,219,"
","
"
583,64,60,224,105,"
","
"
584,15,136,226,8,Yoshida Bungo appears in place of Kiritake Kanjūrō in Adachi's photographs.,"
"
585,15,136,226,9,Yoshida Bungo appears in place of Kiritake Kanjūrō in Adachi's photographs.,"
"
586,15,136,226,10,Yoshida Bungo appears in place of Kiritake Kanjūrō in Adachi's photographs.,"
"
587,15,136,226,11,Yoshida Bungo appears in place of Kiritake Kanjūrō in Adachi's photographs.,"
"
588,15,136,226,12,Yoshida Bungo appears in place of Kiritake Kanjūrō in Adachi's photographs.,"
"
589,15,136,226,13,Yoshida Bungo appears in place of Kiritake Kanjūrō in Adachi's photographs.,"
"
590,122,136,227,324,Minotarō and Tamame switched their roles after Aug. 26. Yoshida Sakujūrō appears in place of Kiritake Kanjūrō in Adachi's photographs.,"
"
591,122,136,227,610,Minotarō and Tamame switched their roles after Aug. 26. Yoshida Sakujūrō appears in place of Kiritake Kanjūrō in Adachi's photographs.,"
"
592,13,136,228,265,"
","
"
593,13,136,228,266,"
","
"
594,126,136,229,14,"Monju played Rokurohime from Aug. 18-25, and Itchō played from Aug. 26-Sept. 2.","
"
595,35,62,234,237,"
","
"
596,110,63,230,482,"
","
"
597,110,63,230,314,"
","
"
598,110,63,230,475,"
","
"
599,110,63,230,476,"
","
"
600,127,63,233,388,"
","
"
601,127,63,233,635,"
","
"
602,127,63,233,636,"
","
"
603,58,63,231,589,"
","
"
604,4,63,232,333,"
","
"
605,4,63,232,334,"
","
"
606,4,63,232,335,"
","
"
607,63,64,235,204,"
","
"
608,63,64,235,205,"
","
"
609,63,64,235,206,"Itchō, Monju, Wakatama and Tamae played from Dec. 4-11; Monju, Itchō, Kameji and Kan'ya played from Dec.12-18.","
"
610,63,64,235,207,"Itchō, Monju, Wakatama and Tamae played from Dec. 4-11; Monju, Itchō, Kameji and Kan'ya played from Dec.12-18. Puppet heads (kashira) for Sekinai and Kanai are not listed in the program.","
"
611,63,64,235,208,"
","
"
612,63,64,235,209,"
","
"
613,63,64,235,210,"
","
"
614,63,64,235,211,"
","
"
615,63,64,235,213,"Monju played Rikiya from Dec. 4-11, and Itchō played from Dec. 12-18.","
"
616,63,64,235,214,"
","
"
617,63,64,235,215,"
","
"
618,63,64,235,216,"
","
"
619,63,64,235,217,"Yoshida Minotarō played Saibei from Dec. 4-11, and Yoshida Tamame played from Dec. 12-18.","
"
620,63,64,235,218,"Yoshida Minotarō played Saibei from Dec. 4-11, and Yoshida Tamame played from Dec. 12-18.","
"
621,63,64,235,219,"Monju and Tamame played from Dec. 4-11, and Itchō and Minotarō played from Dec. 12-18.",Rodayū and Sakitayū switched their roles after Dec. 12.
622,63,64,235,220,"Itchō played Konami from Dec. 4-11, and Monju played from Dec. 12-18.","
"
623,63,64,235,221,Itchō and Monju switched their roles after Dec. 12.,"
"
624,63,64,235,222,Itchō and Monju switched their roles after Dec. 12.,"
"
625,63,64,235,225,"Monju played Rikiya from Dec. 4-11, and Itchō played from Dec. 12-18.","
"
626,5,65,236,640,"
","
"
627,5,65,236,358,"
","
"
628,5,65,236,359,"
","
"
629,5,65,236,360,"
","
"
630,77,65,237,512,"
","
"
631,27,65,238,147,"
","
"
632,27,65,238,148,"
","
"
633,75,65,239,613,"
","
"
634,46,65,240,278,"
","
"
635,29,66,241,164,"
","
"
636,29,66,241,165,"
","
"
637,29,66,241,166,"
","
"
638,82,66,242,101,"
","
"
639,94,66,243,230,"
","
"
640,94,66,243,645,"
","
"
641,77,66,244,512,"
","
"
642,77,66,244,609,"
","
"
643,39,66,245,250,"
","
"
644,79,67,247,172,"
","
"
645,79,67,247,637,"
","
"
646,79,67,247,173,"
","
"
647,79,67,247,178,"
","
"
648,79,67,247,179,"
","
"
649,79,67,247,180,"
","
"
650,79,67,247,181,"
","
"
651,79,67,247,182,"
","
"
652,79,67,247,183,"
","
"
653,79,67,247,184,"
","
"
654,79,67,247,185,"
","
"
