tag_id,label_eng,label_ka,description,notes,sort_ja
48,"Jason Choi, Translator",ジェイソン・チョイ,For The Voices and Hands of Bunraku.,"
",じぇいそん・ちょい
49,"Derek Birdsall, Art Director",デレック・バードサル,For The Voices and Hands of Bunraku.,"
",でれっく・ばーどさる
50,"Gregory Vitiello, Editor",グレゴリー・ヴィティエロ,For The Voices and Hands of Bunraku.,"
",ぐれごりー・びぃてぃえろ
51,The Voices and Hands of Bunraku,文楽のひとびと,"By Barbara C. Adachi, Tokyo; New York: Kodansha International, c1978.","
",ぶんらくのひとびと
52,Backstage at Bunraku,バックステージ・アット・ブンラク,"By Barbara C. Adachi, New  York: John Weatherhill, Inc., 1985.","
",ばっくすてーじ・あっと・ぶんらく
53,National Bunraku Theatre,国立文楽劇場,"Opened in Osaka, Japan, in 1984.","
",こくりつぶんらくげきじょう
54,Directing,演出,,"
",えんしゅつ
56,Performer directory,文楽人名録,,"
",ぶんらくじんめいろく
58,Theater,劇場,,"Photographs of viewer seats, stage curtain, etc.",げきじょう
59,Personal photograph,足立個人写真,,"Bunraku related, but off-off-stage photographs, e.g. with family of performers.",あだちこじんしゃしん
60,Non-Bunraku materials,文楽以外の資料,,"
",ぶんらくいがいのしりょう
61,Sankyoku [three instruments],三曲,"Three instruments: koto, kokyū and shakuhachi. Played in Bunraku by a shamisen player when a character in performance plays the instrument.","
",さんきょく
62,Auxiliary stage,床あるいは出語台,Revolving platform for narrators and shamisen players.,"
",ゆか
63,Armature,さし金,"A device consisting of a wooden rod, a cord, and a lever attached to puppet's left arm.","
",さしがね
64,Kokyū [a musical instrument],胡弓,,"
",こきゅう
65,Shakuhachi [a musical instrument],尺八,,"
",しゃくはち
66,"Puppetry, non-Bunraku",文楽以外の人形浄瑠璃,,"
",ぶんらくいがいのにんぎょうじょうるり
67,Performance list,公演情報資料,,"
",こうえんじょうほうしりょう
68,Performance recording,文楽サウンドレコーディング,,For audio visual materials.,ぶんらくさうんどれこーでぃんぐ
69,Television programs/motion pictures,テレビ番組・映画,,For audio visual materials.,てれびばんぐみ・えいが
70,Kōjō [announcement],口上（東西東西）,"Literally, east and west; hear ye!","
",こうじょう（とうざいとうざい）
71,Adachi's Interviews,足立インタビュー資料,,Barbara Curtis Adachi's interviews of Bunraku Troupe members.,あだちいんたびゅーしりょう
72,"Kineya Hiroji, Offstage Musician",きねやひろじ,,"
",きねやひろじ
73,Stage set,大道具,,"
",おおどうぐ
74,Hirata Yukio,ひらたゆきお,,Accompanied Adachi on her interview trips with Bunraku Troupe members in 1977.,ひらたゆきお
75,Donald Keene,ドナルド・キーン,,"
",どなるど・きーん
76,History of Bunraku,文楽の歴史資料,,"
",ぶんらくのれきししりょう
77,"Hamatani Hitoshi, Stage Director",浜谷仁,,"
",はまだひとし
78,Hitori zukai,一人遣い,Puppet manipulated by one puppeteer,"
",ひとりづかい
